Model,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_mean,ROC_std
NaiveBayes,0.9969107824427482,0.0037839263513013495,0.8513736017897091,0.02155723828250877,0.9182494758432757,0.012138204646932394,0.9901511747864287,0.003902846391817908
LogisticRegression,0.9888350171680619,0.0068706027259217185,0.7135033557046979,0.015171609662176695,0.8288289877030894,0.01148781295915926,0.9910786243349445,0.005073333096220773
LinearSVM,0.9661562260191827,0.0073450769230950196,0.9129753914988814,0.022090297011744194,0.938612618236561,0.01030860344399836,0.9922807339662227,0.0035982918306744645
HardVoting,0.9907642728823086,0.0058588360542214035,0.8687874720357943,0.02030226868896165,0.9256848617638033,0.013506260208539761,0.9337719743598661,0.010414423148779677
SoftVoting,0.9893957115009746,0.003884543094425332,0.8794809843400447,0.023797977608823143,0.9310619734559926,0.014729218929287254,0.9926620254778546,0.00429637387745337
Stacking,0.9762106204972095,0.009717567062082003,0.92234451901566,0.019769049259378425,0.9482888242895694,0.00654170747905496,0.9925028433656733,0.004027162660472301
AdaBoost_Stumps,0.9552106259190556,0.013731338996410918,0.4297807606263982,0.022480211269097588,0.5925450379700186,0.02285776715083814,0.9281019206917736,0.01324916143946492
